Date,Forecasted_Quantity,Lower_CI,Upper_CI
09-05-2024,5.76123744,-3.64162924,15.16410412
10-05-2024,5.821160135,-3.606023461,15.24834373
11-05-2024,5.879713055,-3.571500517,15.33092663
12-05-2024,5.906212355,-3.567985277,15.38040999
13-05-2024,5.947149011,-3.549361124,15.44365915
14-05-2024,5.990144057,-3.528327207,15.50861532
15-05-2024,5.998818585,-3.540620386,15.53825756
16-05-2024,6.01363491,-3.546023328,15.57329315
17-05-2024,6.033988006,-3.545582269,15.61355828
18-05-2024,6.020791674,-3.577879949,15.6194633
19-05-2024,6.007002767,-3.610087333,15.62409287
20-05-2024,6.002476603,-3.632858102,15.63781131
21-05-2024,5.968090168,-3.684950496,15.62113083
22-05-2024,5.92842102,-3.741808796,15.59865084
23-05-2024,5.901907761,-3.785527615,15.58934314
24-05-2024,5.851690655,-3.852727058,15.55610837
25-05-2024,5.793580847,-3.927523925,15.51468562
26-05-2024,5.752396678,-3.985623122,15.49041648
27-05-2024,5.695339335,-4.059692288,15.45037096
28-05-2024,5.629535789,-4.142448674,15.40152025
29-05-2024,5.583837085,-4.205526665,15.37320083
30-05-2024,5.530749366,-4.276381046,15.33787978
31-05-2024,5.469257947,-4.355793486,15.29430938
01-06-2024,5.429892697,-4.413656201,15.2734416
02-06-2024,5.391218356,-4.471439591,15.2538763
03-06-2024,5.344991618,-4.537082547,15.22706578
04-06-2024,5.321249886,-4.580880266,15.22338004
05-06-2024,5.304926399,-4.617989753,15.22784255
06-06-2024,5.281763613,-4.662302581,15.22582981
07-06-2024,5.279471045,-4.686329458,15.24527155
08-06-2024,5.289270856,-4.698976047,15.27751776
09-06-2024,5.292353422,-4.718643282,15.30335013
10-06-2024,5.312678216,-4.721468831,15.34682526
11-06-2024,5.347384476,-4.710465904,15.40523486
12-06-2024,5.374721758,-4.70696471,15.45640823
13-06-2024,5.41394423,-4.691692873,15.51958133
14-06-2024,5.467523463,-4.662349693,15.59739662
15-06-2024,5.512420096,-4.641583217,15.66642341
16-06-2024,5.562708048,-4.6152117,15.7406278
17-06-2024,5.625445256,-4.576365959,15.82725647
18-06-2024,5.6778999,-4.547455641,15.90325544
19-06-2024,5.728921934,-4.519469933,15.9773138
20-06-2024,5.789300919,-4.481826174,16.06042801
21-06-2024,5.838048389,-4.455288993,16.13138577
22-06-2024,5.879099607,-4.435745572,16.19394479
23-06-2024,5.926052558,-4.409819156,16.26192427
24-06-2024,5.960838186,-4.395464475,16.31714085
25-06-2024,5.983048818,-4.392921588,16.35901922
26-06-2024,6.008122193,-4.386978818,16.4032232
27-06-2024,6.021756575,-4.391925861,16.43543901
28-06-2024,6.019931944,-4.411638607,16.45150249
29-06-2024,6.018938064,-4.430044881,16.46792101
30-06-2024,6.008720294,-4.457269985,16.47471057
01-07-2024,5.982439217,-4.500035424,16.46491386
02-07-2024,5.956263785,-4.542367965,16.45489553
03-07-2024,5.924489193,-4.590102197,16.43908058
04-07-2024,5.878239302,-4.652019255,16.40849786
05-07-2024,5.832641491,-4.71315491,16.37843789
06-07-2024,5.786097538,-4.775274483,16.34746956
07-07-2024,5.728417309,-4.848490534,16.30532515
08-07-2024,5.672863447,-4.91966284,16.26538973
09-07-2024,5.621419169,-4.986993667,16.229832
10-07-2024,5.563217588,-5.061283365,16.18771854
11-07-2024,5.508983105,-5.131881408,16.14984762
12-07-2024,5.46355852,-5.194130762,16.1212478
13-07-2024,5.415950582,-5.258961596,16.09086276
14-07-2024,5.373869637,-5.31868018,16.06641945
15-07-2024,5.344197087,-5.36657233,16.0549665
16-07-2024,5.316289786,-5.413213595,16.04579317
17-07-2024,5.29460289,-5.454100759,16.04330654
18-07-2024,5.287233008,-5.481268181,16.0557342
19-07-2024,5.284306524,-5.504512232,16.07312528
20-07-2024,5.287036727,-5.522506075,16.09657953
21-07-2024,5.303990902,-5.526765696,16.1347475
22-07-2024,5.32644123,-5.525933871,16.17881633
23-07-2024,5.352622091,-5.521608161,16.22685234
24-07-2024,5.390963012,-5.505394369,16.28732039
25-07-2024,5.434219028,-5.484455369,16.35289343
26-07-2024,5.478126332,-5.462856134,16.4191088
27-07-2024,5.530533028,-5.432747725,16.49381378
28-07-2024,5.585965002,-5.399542193,16.5714722
29-07-2024,5.638302977,-5.369160557,16.64576651
30-07-2024,5.694533895,-5.334598112,16.7236659
31-07-2024,5.751171757,-5.299315761,16.80165927
01-08-2024,5.800972845,-5.270389361,16.87233505
02-08-2024,5.849921812,-5.241818568,16.94166219
03-08-2024,5.896638973,-5.215004785,17.00828273
04-08-2024,5.933493348,-5.197461337,17.06444803
05-08-2024,5.965424174,-5.184247449,17.1150958
06-08-2024,5.993149244,-5.17471303,17.16101152
07-08-2024,6.009314948,-5.176150243,17.19478014
08-08-2024,6.017824428,-5.184671343,17.2203202
09-08-2024,6.021337935,-5.197719589,17.24039546
10-08-2024,6.013307314,-5.221832157,17.24844679
11-08-2024,5.996621164,-5.254148352,17.24739068
12-08-2024,5.975578066,-5.290494158,17.24165029
13-08-2024,5.944786091,-5.336289039,17.22586122
14-08-2024,5.906126767,-5.389684369,17.2019379
15-08-2024,5.865101084,-5.445310239,17.17551241
16-08-2024,5.817634335,-5.507294391,17.14256306
17-08-2024,5.764586376,-5.574807284,17.10398004
18-08-2024,5.712130707,-5.641800671,17.06606209
19-08-2024,5.657497026,-5.711111403,17.02610546
20-08-2024,5.600497076,-5.782948215,16.98394237
21-08-2024,5.547407489,-5.851142733,16.94595771
22-08-2024,5.496615187,-5.917376344,16.91060672
23-08-2024,5.446869838,-5.982902097,16.87664177
24-08-2024,5.404005774,-6.041965202,16.84997675
25-08-2024,5.367339949,-6.095306254,16.82998615
26-08-2024,5.334589398,-6.145184681,16.81436348
27-08-2024,5.310687073,-6.186706669,16.80808082
28-08-2024,5.295631196,-6.21990884,16.81117123
29-08-2024,5.286207474,-6.247949493,16.82036444
30-08-2024,5.28612592,-6.267109562,16.8393614
31-08-2024,5.295847199,-6.276933194,16.86862759
01-09-2024,5.311416392,-6.281287521,16.90412031
02-09-2024,5.335167739,-6.277782212,16.94811769
03-09-2024,5.367871044,-6.265623798,17.00136589
04-09-2024,5.40511129,-6.249118322,17.0593409
05-09-2024,5.447868809,-6.227194961,17.12293258
06-09-2024,5.49714901,-6.198807657,17.19310568
07-09-2024,5.54842801,-6.168369386,17.26522541
08-09-2024,5.601508682,-6.135973968,17.33899133
09-09-2024,5.657630342,-6.100342159,17.41560284
10-09-2024,5.71254539,-6.065630755,17.49072154
11-09-2024,5.765167908,-6.032833141,17.56316896
12-09-2024,5.817014813,-6.000410245,17.63443987
13-09-2024,5.864485315,-5.971909377,17.70088001
14-09-2024,5.905948761,-5.948897251,17.76079477
15-09-2024,5.94325126,-5.929533493,17.81603601
16-09-2024,5.973743092,-5.916458754,17.86394494
17-09-2024,5.995587415,-5.911481965,17.9026568
18-09-2024,6.010979862,-5.912441788,17.93440151
19-09-2024,6.018414931,-5.920875502,17.95770536
20-09-2024,6.016128477,-5.938552754,17.97080971
21-09-2024,6.006623518,-5.963026537,17.97627357
22-09-2024,5.989591596,-5.994667399,17.97385059
23-09-2024,5.963522497,-6.035015822,17.96206082
24-09-2024,5.931106353,-6.081449311,17.94366202
25-09-2024,5.893136868,-6.133254003,17.91952774
26-09-2024,5.84842552,-6.191663252,17.88851429
27-09-2024,5.799655235,-6.254063524,17.85337399
28-09-2024,5.748495791,-6.318871105,17.81586269
29-09-2024,5.694042693,-6.387040352,17.77512574
30-09-2024,5.638726904,-6.456202626,17.73365643
01-10-2024,5.584774949,-6.524213235,17.69376313
02-10-2024,5.531452122,-6.591852536,17.65475678
03-10-2024,5.480680942,-6.657244334,17.61860622
04-10-2024,5.434884953,-6.718031925,17.58780183
05-10-2024,5.39335109,-6.774959835,17.56166202
06-10-2024,5.357271234,-6.826856884,17.54139935
07-10-2024,5.328924018,-6.871485088,17.52933312
08-10-2024,5.30748293,-6.909678413,17.52464427
09-10-2024,5.29326502,-6.941106527,17.52763657
10-10-2024,5.288132936,-6.96391238,17.54017825
11-10-2024,5.291065803,-6.979094116,17.56122572
12-10-2024,5.301471788,-6.987193456,17.59013703
13-10-2024,5.320635658,-6.986894142,17.62816546
14-10-2024,5.347342051,-6.979360278,17.67404438
15-10-2024,5.380179716,-6.965922606,17.72628204
16-10-2024,5.419819748,-6.945849333,17.78548883
17-10-2024,5.464939575,-6.920394405,17.85027355
18-10-2024,5.513512654,-6.89148935,17.91851466
19-10-2024,5.565679668,-6.858920275,17.99027961
20-10-2024,5.620170918,-6.82388875,18.06423059
21-10-2024,5.674633199,-6.788659356,18.13792575
22-10-2024,5.728850158,-6.753382749,18.21108306
23-10-2024,5.78180527,-6.719026099,18.28263664
24-10-2024,5.831145564,-6.687878908,18.35017004
25-10-2024,5.876516611,-6.660253714,18.41328694
26-10-2024,5.917352031,-6.636698489,18.47140255
27-10-2024,5.951610444,-6.619226916,18.5224478
28-10-2024,5.979012952,-6.608107401,18.56613331
29-10-2024,5.999591762,-6.603323016,18.60250654
30-10-2024,6.011861642,-6.606367581,18.63009086
31-10-2024,6.01578046,-6.617302428,18.64886335
01-11-2024,6.012041772,-6.635477382,18.65956092
02-11-2024,5.999855267,-6.66172042,18.66143095
03-11-2024,5.97949065,-6.695802904,18.6547842
04-11-2024,5.952258935,-6.736475389,18.64099326
05-11-2024,5.918078392,-6.783875896,18.62003268
06-11-2024,5.877505437,-6.837501204,18.59251208
07-11-2024,5.832318011,-6.89564278,18.5602788
08-11-2024,5.78303542,-6.957845952,18.52391679
09-11-2024,5.730383644,-7.023440937,18.48420822
10-11-2024,5.676371939,-7.09048645,18.44323033
11-11-2024,5.621918109,-7.158128333,18.40196455
12-11-2024,5.567736794,-7.225702558,18.36117615
13-11-2024,5.515787126,-7.291307551,18.3228818
14-11-2024,5.46713108,-7.353934529,18.28819669
15-11-2024,5.422269514,-7.413118554,18.25765758
16-11-2024,5.382833584,-7.467265958,18.23293313
17-11-2024,5.349774972,-7.515457737,18.21500768
18-11-2024,5.323203915,-7.557595536,18.20400337
19-11-2024,5.304199299,-7.59260872,18.20100732
20-11-2024,5.293397813,-7.619864074,18.2066597
21-11-2024,5.29041,-7.639732199,18.2205522
22-11-2024,5.295632367,-7.65179051,18.24305524
23-11-2024,5.309270085,-7.655804794,18.27434496
24-11-2024,5.330421007,-7.652627644,18.31346966
25-11-2024,5.358786536,-7.642500209,18.36007328
26-11-2024,5.39413155,-7.625601492,18.41386459
27-11-2024,5.435132701,-7.603183758,18.47344916
28-11-2024,5.480902053,-7.57605839,18.5378625
29-11-2024,5.530860318,-7.544735568,18.6064562
30-11-2024,5.583445501,-7.510701318,18.67759232
01-12-2024,5.637383278,-7.47515275,18.74991931
02-12-2024,5.691926925,-7.438772917,18.82262677
03-12-2024,5.745516686,-7.403059325,18.8940927
04-12-2024,5.796752391,-7.369352614,18.9628574
05-12-2024,5.844936681,-7.338308099,19.02818146
06-12-2024,5.888765713,-7.311195131,19.08872656
07-12-2024,5.926981471,-7.289241933,19.14320488
08-12-2024,5.959144517,-7.272876178,19.19116521
09-12-2024,5.984424174,-7.262927147,19.2317755
10-12-2024,6.001929167,-7.260288879,19.26414721
11-12-2024,6.011632185,-7.265006861,19.28827123
12-12-2024,6.013313574,-7.277329119,19.30395627
13-12-2024,6.006588365,-7.297670852,19.31084758
14-12-2024,5.991906744,-7.325623074,19.30943656
15-12-2024,5.969690558,-7.360813461,19.30019458
16-12-2024,5.940091409,-7.403138997,19.28332181
17-12-2024,5.903997688,-7.451766051,19.25976143
18-12-2024,5.862388633,-7.505776157,19.23055342
19-12-2024,5.815871032,-7.564619921,19.19636198
20-12-2024,5.76563363,-7.627167796,19.15843506
21-12-2024,5.713029467,-7.692129674,19.11818861
22-12-2024,5.658947356,-7.758674249,19.07656896
23-12-2024,5.604666722,-7.825577372,19.03491082
24-12-2024,5.551665958,-7.891417167,18.99474908
25-12-2024,5.500888847,-7.955298885,18.95707658
26-12-2024,5.453465951,-8.016134671,18.92306657
27-12-2024,5.410735039,-8.072627757,18.89409783
28-12-2024,5.373462062,-8.12404353,18.87096765
29-12-2024,5.342407945,-8.169642087,18.85445798
30-12-2024,5.31853704,-8.208475426,18.84554951
31-12-2024,5.30224757,-8.240150434,18.84464557
