Date,Quantity
09-04-2018,5.33
09-04-2018,10.19
09-04-2018,8.85
09-04-2018,10.19
10-04-2018,3
10-04-2018,5.09
10-04-2018,0.5
10-04-2018,2.43
10-04-2018,5.05
11-04-2018,1.99
11-04-2018,4.04
11-04-2018,10.19
11-04-2018,0.99
11-04-2018,3.97
12-04-2018,1.99
12-04-2018,5.16
12-04-2018,7.01
13-04-2018,1.52
13-04-2018,4.07
13-04-2018,7.78
13-04-2018,5.14
13-04-2018,5.35
16-04-2018,4.73
16-04-2018,2.54
16-04-2018,10.19
16-04-2018,0.09
16-04-2018,7.83
17-04-2018,3.84
17-04-2018,0.34
18-04-2018,5.15
18-04-2018,2.98
18-04-2018,1.65
18-04-2018,5.27
19-04-2018,4.01
19-04-2018,10.19
20-04-2018,2.01
20-04-2018,5.26
20-04-2018,7.67
20-04-2018,3.93
21-04-2018,3.26
21-04-2018,2.94
21-04-2018,10.19
21-04-2018,10.19
21-04-2018,4
21-04-2018,4.04
21-04-2018,2.1
21-04-2018,1.26
21-04-2018,3.89
21-04-2018,1.51
23-04-2018,4.12
23-04-2018,5.22
23-04-2018,10.19
23-04-2018,1.01
23-04-2018,5.56
24-04-2018,3.08
24-04-2018,5.12
24-04-2018,5.21
24-04-2018,4.61
24-04-2018,5.14
25-04-2018,4.69
25-04-2018,2.95
25-04-2018,9.04
25-04-2018,3.04
25-04-2018,7.53
26-04-2018,2.15
26-04-2018,2.32
26-04-2018,10.19
26-04-2018,5.9
26-04-2018,2.02
27-04-2018,2.01
27-04-2018,2.01
27-04-2018,10.19
27-04-2018,0.75
28-04-2018,6.93
28-04-2018,1.92
28-04-2018,10.19
28-04-2018,0.49
28-04-2018,3.96
28-04-2018,1.01
28-04-2018,3.92
28-04-2018,0.93
30-04-2018,10.19
30-04-2018,1.95
30-04-2018,0.92
30-04-2018,0.36
30-04-2018,5.21
30-04-2018,6.01
30-04-2018,5.26
30-04-2018,10.19
02-05-2018,1.81
02-05-2018,3
02-05-2018,10.19
02-05-2018,0.84
03-05-2018,0.99
03-05-2018,10.19
03-05-2018,5.51
03-05-2018,3
04-05-2018,10.19
05-05-2018,5.17
05-05-2018,1.98
05-05-2018,2.11
05-05-2018,0.96
05-05-2018,10.19
07-05-2018,4.88
07-05-2018,0.49
07-05-2018,8.95
07-05-2018,5.35
07-05-2018,7.71
08-05-2018,0.25
08-05-2018,0.59
08-05-2018,2.01
08-05-2018,1.5
08-05-2018,0.34
08-05-2018,3.86
09-05-2018,3.06
09-05-2018,1.99
09-05-2018,2.01
09-05-2018,6.1
10-05-2018,3.98
10-05-2018,1
10-05-2018,0.49
10-05-2018,0.9
10-05-2018,0.33
11-05-2018,5.27
12-05-2018,3
12-05-2018,7.01
12-05-2018,10.19
12-05-2018,1.98
12-05-2018,3.88
12-05-2018,10.19
12-05-2018,1.97
12-05-2018,5.14
12-05-2018,9.3
14-05-2018,3.95
14-05-2018,3.28
14-05-2018,2.99
14-05-2018,5
14-05-2018,5.23
14-05-2018,10.19
15-05-2018,0.34
15-05-2018,3.09
15-05-2018,10.19
16-05-2018,1.16
16-05-2018,2.09
16-05-2018,0.42
16-05-2018,10.19
16-05-2018,5.14
16-05-2018,5.06
17-05-2018,1.02
17-05-2018,5.24
17-05-2018,10.19
17-05-2018,2.98
17-05-2018,3.98
17-05-2018,5.99
18-05-2018,4
18-05-2018,7.93
18-05-2018,5.32
18-05-2018,10.19
18-05-2018,1.49
18-05-2018,0.17
19-05-2018,4.92
19-05-2018,1.97
19-05-2018,0.3
19-05-2018,5.18
21-05-2018,4
21-05-2018,5.22
21-05-2018,3.04
21-05-2018,2.01
21-05-2018,2
21-05-2018,10.19
21-05-2018,5.24
22-05-2018,0.107
22-05-2018,1
22-05-2018,10.19
22-05-2018,9.31
22-05-2018,7
23-05-2018,5.01
23-05-2018,3.04
23-05-2018,4.02
23-05-2018,3.04
23-05-2018,10.19
24-05-2018,4.03
24-05-2018,3
24-05-2018,1.084
24-05-2018,2.46
24-05-2018,10.19
24-05-2018,7.03
24-05-2018,3.88
26-05-2018,0.736
26-05-2018,2.98
26-05-2018,0.57
26-05-2018,1.53
26-05-2018,4.02
28-05-2018,3.02
28-05-2018,1.13
28-05-2018,2.25
28-05-2018,0.07
28-05-2018,5.15
28-05-2018,5.24
28-05-2018,0.08
29-05-2018,10.17
29-05-2018,5.27
29-05-2018,2.46
29-05-2018,3.86
29-05-2018,10.19
29-05-2018,1.01
29-05-2018,1.858
29-05-2018,5.18
29-05-2018,8.04
29-05-2018,1.42
