Date,FY,Quantity,Value,April,August,December,February,January,July,June,March,May,November,October,September,t,t_square,log_Quantity
2017-05-08,FY 18,25.55,1020698.23,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.2406373166497136
2017-05-09,FY 18,6.03,259290.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.7967470107390942
2017-05-09,FY 18,9.62,406926.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.263844264677615
2017-05-09,FY 18,4.06,174580.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.4011829736136412
2017-05-10,FY 18,14.51,586204.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.6748380668960965
2017-05-10,FY 18,6.45,252778.6,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.864080130807681
2017-05-10,FY 18,4.03,170066.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.3937663759585917
2017-05-10,FY 18,2.52,106344.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.9242589015233319
2017-05-10,FY 18,5.32,214396.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6714733033535532
2017-05-10,FY 18,4.1,170150.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.410986973710262
2017-05-11,FY 18,1.02,43044.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.01980262729617973
2017-05-11,FY 18,22.45,958615.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.1112906141882632
2017-05-11,FY 18,8.65,363300.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.157559320943788
2017-05-12,FY 18,4.95,212850.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.599387576580599
2017-05-12,FY 18,10.56,443520.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.3570732782781154
2017-05-13,FY 18,3.95,169850.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.3737155789130306
2017-05-13,FY 18,12.37,494169.75,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.5152741864043966
2017-05-13,FY 18,5.4,226800.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6863989535702288
2017-05-13,FY 18,5.39,226380.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6845453849209058
2017-05-13,FY 18,4.2,177240.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.4350845252893227
2017-05-13,FY 18,2.03,85666.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.7080357930536959
2017-05-15,FY 18,1.01,42622.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.009950330853168092
2017-05-16,FY 18,10.78,452760.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.377692565480851
2017-05-16,FY 18,1.99,85570.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.688134638736401
2017-05-16,FY 18,4.24,176808.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.4445632692438664
2017-05-16,FY 18,4.13,174286.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.4182774069729414
2017-05-16,FY 18,0.41,17015.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.8915981192837836
2017-05-16,FY 18,6.67,280140.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.8976198599275322
2017-05-16,FY 18,14.79,631533.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.6939512767227085
2017-05-16,FY 18,10.84,455280.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.3832429960115
2017-05-16,FY 18,5.41,229925.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6882490928583902
2017-05-17,FY 18,2.96,127280.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.085189268335969
2017-05-17,FY 18,2.01,85827.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.6981347220709843
2017-05-17,FY 18,0.93,38316.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.07257069283483537
2017-05-17,FY 18,2.94,123480.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.0784095813505903
2017-05-17,FY 18,3.21,134820.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.1662709371419244
2017-05-18,FY 18,4.94,205010.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.5973653311998313
2017-05-18,FY 18,5.26,220920.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6601310267496185
2017-05-18,FY 18,3.94,169420.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.3711807233098425
2017-05-18,FY 18,25.48,1087996.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.2378938307039626
2017-05-18,FY 18,4.0,168800.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.3862943611198906
2017-05-18,FY 18,13.66,532740.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.614471854142644
2017-05-19,FY 18,5.52,231840.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.7083778602890038
2017-05-19,FY 18,8.08,339360.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.089391872533004
2017-05-20,FY 18,7.86,326190.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.061786606441115
2017-05-20,FY 18,2.0,84400.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.6931471805599453
2017-05-20,FY 18,7.71,325362.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.0425181875752383
2017-05-20,FY 18,3.0,129000.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.0986122886681098
2017-05-20,FY 18,1.01,42622.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.009950330853168092
2017-05-20,FY 18,25.94,1036278.36,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.255786178888298
2017-05-22,FY 18,2.15,89762.5,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.7654678421395714
2017-05-22,FY 18,4.35,183570.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.4701758451005926
2017-05-22,FY 18,3.02,129860.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.1052568313867783
